date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:46:10	20783/20783	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:58%20GMT	https://b.btcminners.com/styles/assets/images/solid.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/solid.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:46:11	537/537	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:46%20GMT	https://b.btcminners.com/styles/assets/images/faq_plus.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/faq_plus.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:46:13	386/386	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:32%20GMT	https://b.btcminners.com/styles/assets/images/faq_minus.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/faq_minus.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:46:13	1065822/1065822	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:38%20GMT	https://b.btcminners.com/styles/assets/images/ctn-bg.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/ctn-bg.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:46:15	1504/1504	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:32%20GMT	https://b.btcminners.com/styles/assets/images/contactemail.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/contactemail.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:46:17	7791/7791	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:46:17%20GMT	https://b.btcminners.com/?a=forgot_password	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/index8083.html	(from https://b.btcminners.com/?a=login)
00:46:18	10216/10216	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:46:18%20GMT	https://b.btcminners.com/?a=rules	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/indexa972.html	(from https://b.btcminners.com/?a=signup)
00:46:18	36927/36927	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Feb%202019%2004:42:28%20GMT	https://b.btcminners.com/styles/assets/images/loginpageright.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/loginpageright.png	(from https://b.btcminners.com/?a=forgot_password)
00:46:18	6380/6380	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:46:19%20GMT	https://b.btcminners.com/?a=home	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/indexbc14.html	(from https://b.btcminners.com/?a=forgot_password)
00:46:19	3846/3846	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:26%20GMT	https://b.btcminners.com/styles/assets/images/call-ic2.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/call-ic2.png	(from https://b.btcminners.com/?a=forgot_password)
